colecao;Identificacao;grupo;serie;subserie;tipologia;descricao;titutlo;titulo atribuido;data;data-periodo;;autoria;idioma;quantitade;local de producao;veiculo de publicacao;local de publicacao;tipo de publicacao;genero;forma;formato;escritura;suporte;dimensao;estado de conservacao;observacoes;documentos realcionados;numero da caixa;nome da caixa;numero da pasta;nome da pasta;numero serie;;;;;;;;;;;;
1;BRFM_AM_05_063;1;7;;6;Pintor Di Cavalcanti.;Di Cavalcanti, barroco, sensual, brasileiro;;1905-06-10;;;Frederico Morais;Português;1 página;São Paulo, SP;123;Ano 14, Nº8, p.43;;Textual;Original;1;Impresso;3;21,00 x 28,00 cm;Papel Acidificado/Amarelado, Manchado;Doc. 15;;1;1;;;63;;;;;;;;;;;;
1;BRFM_AM_05_064;1;7;;6;Artista plástico Franz Krajcberg.;Franz Krajcberg - A natureza recriada;;1905-06-10;;;Frederico Morais;Português;1 página;São Paulo, SP;123;Ano 14, Nº7, p.42;;Textual;Original;1;Impresso;3;21,00 x 28,00 cm;Papel Acidificado/Amarelado, Manchado, Rasgado;Doc. 16;;1;1;;;64;;;;;;;;;;;;
1;BRFM_AM_05_065;1;7;;6;"Movimento artístico do ""Simbolismo""";Simbolismo - Ascético e sensual;;1905-06-10;;;Frederico Morais;Português;1 página;São Paulo, SP;123;Ano 14, Nº6, p.45;;Textual;Original;1;Impresso;3;21,00 x 28,00 cm;Papel Acidificado/Amarelado, Manchado;Doc. 17;;1;1;;;65;;;;;;;;;;;;
1;BRFM_AM_05_066;1;7;;6;Artista plástico Ismael Nery.;Ismael Nery, um artista maldito;;1905-06-10;;;Frederico Morais;Português;1 página;São Paulo, SP;123;Ano 14, Nº5, p.42;;Textual;Original;1;Impresso;3;21,00 x 28,00 cm;Papel Acidificado/Amarelado, Manchado, Rasgado;Doc. 18;;1;1;;;66;;;;;;;;;;;;
1;BRFM_AM_05_067;1;7;;6;Artista plástico Flácio de Carvalho.;"Flávio de Carvalho, um ""Chacoalhador de Idéias""";;1905-06-10;;;Frederico Morais;Português;1 página;São Paulo, SP;123;Ano 14, Nº3, p.43;;Textual;Original;1;Impresso;3;21,00 x 28,00 cm;Papel Acidificado/Amarelado, Manchado;Doc. 19;;1;1;;;67;;;;;;;;;;;;
1;BRFM_AM_05_068;1;7;;6;Artista plástico Alberto de Veiga Guignard.;Guignard: Nacionalismo lírico;;1905-06-10;;;Frederico Morais;Português;1 página;São Paulo, SP;123;Ano 14, Nº2, p.42;;Textual;Original;1;Impresso;3;21,00 x 28,00 cm;Papel Acidificado/Amarelado, Manchado;Doc. 20;;1;1;;;68;;;;;;;;;;;;
1;BRFM_AM_05_069;1;7;;6;Arte de vanguarda.;Da Pop à Transvanguarda: Volta à figura, ecletismo;;1905-06-10;;;Frederico Morais;Português;1 página;São Paulo, SP;123;Ano 14, Nº1, p.47;;Textual;Original;1;Impresso;3;21,00 x 28,00 cm;Papel Acidificado/Amarelado, Manchado;Doc. 21;;1;1;;;69;;;;;;;;;;;;
1;BRFM_AM_05_070;1;7;;6;Arte Abstrata.;Arte Abstrata: Da Mancha à Geometria;;1905-06-09;;;Frederico Morais;Português;1 página;São Paulo, SP;123;Ano 13, Nº9, p.46;;Textual;Original;1;Impresso;3;21,00 x 28,00 cm;Papel Acidificado/Amarelado, Manchado;Doc. 22;;1;1;;;70;;;;;;;;;;;;
1;BRFM_AM_05_071;1;7;;6;"Movimentos artísticos do ""Dadaísmo"" e ""Surrealismo"".";Dada e Surrealismo: O Ataque à Razão;;1905-06-09;;;Frederico Morais;Português;1 página;São Paulo, SP;123;Ano 13, Nº8, p.42;;Textual;Original;1;Impresso;3;21,00 x 28,00 cm;Papel Acidificado/Amarelado, Manchado;Doc. 23;;1;1;;;71;;;;;;;;;;;;
1;BRFM_AM_05_072;1;7;;6;"Movimento artístico do ""Expressionismo"".";Expressionismo: Absurdo e Revolta;;1905-06-09;;;Frederico Morais;Português;1 página;São Paulo, SP;123;Ano 13, Nº6, p.42;;Textual;Original;1;Impresso;3;21,00 x 28,00 cm;Papel Acidificado/Amarelado, Manchado, Rasgado;Doc. 24;;1;1;;;72;;;;;;;;;;;;
