colecao;Identificacao;grupo;serie;subserie;tipologia;descricao;titutlo;titulo atribuido;data;data-periodo;;autoria;idioma;quantitade;local de producao;veiculo de publicacao;local de publicacao;tipo de publicacao;genero;forma;formato;escritura;suporte;dimensao;estado de conservacao;observacoes;documentos realcionados;numero da caixa;nome da caixa;numero da pasta;nome da pasta;numero serie;;;;;;;;;;;;
1;BRFM_AM_11_009;1;18;;37;Textos sobre a artista plástica Wanda Pimentel.;;;;;;Frederico Morais;Português;14 páginas;;;;;Textual;Cópia;1;Impresso;3;"21,00 x 29,5,00 cm; 21,00 x 33,00 cm";Manchado, oxidado;Doc. 44;;2;2;;;9;;;;;;;;;;;;
1;BRFM_AM_12_001;1;19;;65;Lista de temas relacionada à artista plástica Wilma Martins. Em anexo cópia de capa de livro e de convite.;Wilma Martins;;;;;Frederico Morais;Português;5 páginas;;;;;Textual, Iconográfico;"Original; cópia";1;Impresso;3;21,00 x 29,5,00 cm;Bom;Doc. 45.01;;2;2;;;1;;;;;;;;;;;;
1;BRFM_AM_12_002;1;19;;65;Lista de temas relacionada à artista plástica Wilma Martins. Em anexo cópia de capa de livro, de convite e de página de publicação.;Caderno de Viagem e Cotidiano;;;;;"Frederico Morais; Wilma Martins";Português;4 páginas;;;;;Textual, Iconográfico;"Original; cópia";1;"Manuscrito; Impresso";3;"15,00 x 21,00 cm; 29,5,00 x 21,00 cm";Bom;Doc. 45.02;;2;2;;;2;;;;;;;;;;;;
1;BRFM_AM_12_003;1;19;;98;"Cópia de trecho da revista ""Serrote"", organizada pelo Instituto Moreira Salles - IMS, com texto e reprodução de obras da artista plástica Wilma Martins. Em anexo carta de Carla Brandão da IMS e contrato de licenciamento.";;;;;;;Português;26 páginas;;;;;Textual, Iconográfico;"Original; cópia";1;Impresso;3;21,00 x 29,5,00 cm;Bom;Doc. 45.03;;2;2;;;3;;;;;;;;;;;;
1;BRFM_AM_12_004;1;19;;96;"Lançamento de livros das artistas plásticas Wilma Martins e Rosângela Rennó. Em anexo página do jornal ""O Globo"" com reprodução de obra de Wilma Martins.";Sob Olhar Feminino;;;;;Luiza Gould;Português;2 páginas;;;;;Textual, Iconográfico;Original;1;Impresso;1;"16,5,00 x 28,5,00 cm; 31,5,00 x 55,00 cm";Papel Acidificado/Amarelado, Dobrado;Doc. 45.04;;2;2;;;4;;;;;;;;;;;;
1;BRFM_AM_12_005;1;19;;58;Textos sobre a artista plástica Wilma Martins.;;;;;;;Português;10 páginas;;;;;Textual;"Original; cópia";1;Impresso;#N/D;"21,00 x 29,5; 11,00 x 56,00 cm";Papel Acidificado/Amarelado, Dobrado;Doc. 45.05;;2;2;;;5;;;;;;;;;;;;
1;BRFM_AM_12_006;1;19;;37;Textos retirados da internet sobre a artista plástica Wilma Martins. Em anexo lista de links com reportagens sobre a artista.;;;;;;;Português;7 páginas;;;;;Textual;Cópia;1;Impresso;3;21,00 x 29,5,00 cm;Bom;Doc. 45.06;;2;2;;;6;;;;;;;;;;;;
1;BRFM_AM_12_007;1;19;;14;"Cartas de agradecimento por recebimento do livro ""Wilma Martins"".";;;;22/03/2016-17/11/2017;;;Português;9 páginas;;;;;Textual;"Original; cópia";1;Impresso;3;"15,5,00 x 12; 21,00 x 29,5,00 cm";Bom;Doc. 45.07;;2;2;;;7;;;;;;;;;;;;
1;BRFM_AM_12_008;1;19;;68;Lista de obras da artista plástica Wilma Martins.;;;;;;;Português;32 páginas;;;;;Textual;Original;1;Impresso;3;29,5,00 x 21,00 cm;Oxidado;Doc. 45.08;;2;2;;;8;;;;;;;;;;;;
1;BRFM_AM_05_080;1;7;;65;Lista de livros com textos do historiador e crítico de arte Frederico Morais.;Publicações;;;;;Frederico Morais;Português;2 páginas;;;;;Textual;Original;1;Impresso;3;21,00 x 29,5,00 cm;Bom;Doc. 46;;2;2;;;80;;;;;;;;;;;;
1;BRFM_EN_01_001;6;27;;59;Fotografias de palestra do historiador e crítico Frederico Morais, com presença do poeta Ferreira Gullar.;;;1905-07-08;;;;;17 páginas;;;;;Iconográfico;Original;1;;9;"10,00 x 15,00 cm; 5,5,00 x 8,5 ,00 x m";Bom;Doc. 47;;2;2;;;1;;;;;;;;;;;;
1;BRFM_AM_13_001;1;20;;6;"Texto do catálogo da exposição ""Anos 30/40 - Projeto Arte Brasileira"", realizada pelo Instituto Nacional de Artes Plásticas da FUNARTE.";Anos 30/40: Efervescência Artística;;1905-06-09;;;Frederico Morais;Português;44 páginas;Rio de Janeiro, RJ;;;;Textual, Iconográfico;Original;1;Impresso;3;21,00 x 21,00 cm;Bom;"Doc. 112; 2 exemplares";;6;6;;;1;;;;;;;;;;;;
1;BRFM_AM_13_002;1;20;;34;Exposição do artista plástico Antonio Henrique Amaral realizada no Paço Imperial.;;;;;;Frederico Morais;Português;44 páginas;Rio de Janeiro, RJ;;;;Textual, Iconográfico;Original;4;Impresso;3;21,00 x 21,00 cm;Manchado;Doc. 113;;6;6;;;2;;;;;;;;;;;;
1;BRFM_AM_13_003;1;20;;6;"Texto do catálogo da exposição ""Encontros"" da artista plástica Maria Leontila realizada na Petite Galerie.";Construção sensível - Cor anímica;;;"22/07/1985; 15/08/1985";;Frederico Morais;Português;1 página;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;3;19,5,00 x 19,5,00 cm;Manchado;Doc. 114;;6;6;;;3;;;;;;;;;;;;
1;BRFM_AM_13_004;1;20;;6;Texto do catálogo da exposição de pinturas do artista plástico Luiz Aquila realizada na Galeria de Arte São Paulo.;;;;-/07/1985;;Frederico Morais;Português;7 páginas;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;3;21,00 x 21,00 cm;Bom;Doc. 115;;6;6;;;4;;;;;;;;;;;;
1;BRFM_AM_13_005;1;20;;6;"Texto do catálogo da exposição ""A urbs na visão de oito artistas"" realizada na Montesanti Galleria. ";A urbs na visão de oito artistas;;;-/02/1986;;Frederico Morais;Português;3 páginas;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;3;20,00 x 22,00 cm;Manchado;Doc. 116;;6;6;;;5;;;;;;;;;;;;
1;BRFM_AM_13_006;1;20;;6;"Texto do catálogo da exposição de desenhos da artista plástica Maria do Carmo Secco realizada na Galeria de Arte ""Casa do Brasil"".";L'Abbicci della casa o l'apprendistato del disegno;;;"23/04/1981; 05/05/1981";;Frederico Morais;Italiano;2 páginas;Roma, Itália;;;;Textual;Original;1;Impresso;3;16,00 x 17,00 cm;Manchado;Doc. 117;;6;6;;;6;;;;;;;;;;;;
1;BRFM_AM_13_007;1;20;;6;Texto do catálogo da exposição de desenhos da artista plástica Maria do Carmo Secco realizada na Galeria Guignard.;Maria do Carmo Secco: A mulher exposta;;1905-05-19;;;Frederico Morais;Português;1 página;Belo Horizonte, MG;;;;Textual;Original;1;Impresso;3;23,00 x 5,00 x 16,5,00 cm;Papel Acidificado/Amarelado, Manchado;Doc. 118;;6;6;;;7;;;;;;;;;;;;
1;BRFM_AM_13_008;1;20;;6;Texto de convite da exposição de desenhos da artista plástica Maria do Carmo Secco realizada pela Fátima Arquitetura e Interiores.. ;Maria do Carmo Secco: Pinturas 1966-1967;;1967-06-21;;;Frederico Morais;Português;1 página;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;3;23,5,00 x 15,5,00 cm;Papel Acidificado/Amarelado, Manchado, Dobrado, Rasgado;Doc. 119 a;;6;6;;;8;;;;;;;;;;;;
1;BRFM_AM_13_009;1;20;;6;Texto do catálogo da exposição de desenhos da artista plástica Maria do Carmo Secco realizada na Galeria Arte Global. ;;;;-/06/1975;;Frederico Morais;Português;1 página;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;3;23,00 x 23,00 cm;Manchado;Doc. 119 b;;6;6;;;9;;;;;;;;;;;;
1;BRFM_AM_13_010;1;20;;6;"Texto do catálogo da exposição da ""Série Ocupação"" do artista plástico Victor Gerhard realizada na Real Galeria de Arte.";;;;-/07/1975;;Frederico Morais;Português;1 página;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;3;31,5,00 x 22,00 cm;Bom;Doc. 120;;6;6;;;10;;;;;;;;;;;;
1;BRFM_AM_13_011;1;20;;6;"Texto de convite da exposição ""Quatro Artistas Jovens na Galeria do IBEU"", realizada pelo Instituto Brasil-Estados Unidos.";;;1972-06-15;;;Frederico Morais;Português;1 página;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;3;31,5,00 x 17,00 cm;Manchado, Dobrado;Doc. 121;;6;6;;;11;;;;;;;;;;;;
1;BRFM_AM_13_012;1;20;;6;Texto do catálogo da exposição de pinturas do artista plástico Nelson Augusto realizada na Petite Galerie;Nelson Augusto: Pinturas;;;"05/05/1975; 17/05/1975";;Frederico Morais;Português;1 página;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;3;19,00 x 19,00 cm;Manchado;Doc. 122;;6;6;;;12;;;;;;;;;;;;
1;BRFM_AM_13_013;1;20;;6;"Texto do catálogo da exposição de pinturas do artista plástico Abelardo Zaluar realizada na Galeria de Arte ""Largo do Comendador""";Pinturas de Abelardo Zaluar;;;"09/05/1972; 25/05/1972";;Frederico Morais;Português;1 página;Curitiba, PR;;;;Textual;Original;1;Impresso;3;17,00 x 20,5,00 cm;Manchado;Doc. 123;;6;6;;;13;;;;;;;;;;;;
1;BRFM_AM_13_014;1;20;;6;Texto do catálogo da exposição de obras recentes do artista plástico Brennand realizada na Petite Galerie;Brennand;;1969-12-15;;;Frederico Morais;Português;1 página;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;3;15,2,00 x 21,00 cm;Manchado, Rasgado;Doc. 124;;6;6;;;14;;;;;;;;;;;;
1;BRFM_AM_13_015;1;20;;6;Texto do catálogo da exposição do artista plástico Ascânio MMM realizada na Galeria Celina;Elemento e Princípio;;1969-06-17;;;Frederico Morais;Português;1 página;;;;;Textual;Original;1;Impresso;3;29,5,00 x 22,00 cm;Manchado;Doc. 125;;6;6;;;15;;;;;;;;;;;;
1;BRFM_AM_13_016;1;20;;6;"Texto do catálogo da exposição coletiva ""Objeto"", realizada na Galeria Celina";Objeto;;;--/01/1969;;Frederico Morais;Português;1 página;;;;;Textual;Original;1;Impresso;3;19,3,00 x 22,00 cm;Manchado;Doc. 126;;6;6;;;16;;;;;;;;;;;;
1;BRFM_AM_13_017;1;20;;6;"Texto do catálogo da exposição do artista plástico Humberto Espindola realizada na Galeria Grelds, transcrito do ""Diário de Notícias""";"""Bovinocultura"", Sociedade do Boi";;1969-01-15;;;Frederico Morais;Português;1 página;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;3;16,00 x 23,2,00 cm;Bom;Doc. 127;;6;6;;;17;;;;;;;;;;;;
1;BRFM_AM_13_018;1;20;;6;Texto do catálogo da esposição da artista plática Regina Vater, realizada na Petite Galerie;Regina Vater;;1968-07-01;;;Frederico Morais;Português;1 página;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;3;10,5,00 x 22,3,00 cm;Manchado;Doc. 128;;6;6;;;18;;;;;;;;;;;;
1;BRFM_AM_13_019;1;20;;6;Texto do catálogo da exposição de pinturas da artista plástica Cybèle Varela, realizada na Galeria Goeldi;Pintura;;;"24/06/1968; 05/07/1968";;Frederico Morais;Português;1 página;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;3;165,00 x 24,00 cm;Rasgado, Dobrado;Doc. 129;;6;6;;;19;;;;;;;;;;;;
1;BRFM_AM_13_020;1;20;;126;Texto do cartaz da vernissage da exposição da artista plástica Miriam Monteiro, realizada na Galeria Goeldi;Os duplos e as gaiolas-objetos;;1968-04-02;;;Frederico Morais;Português;1 página;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;3;28,00 x 36,00 cm;Papel Acidificado/Amarelado, Dobrado;Doc. 130;;6;6;;;20;;;;;;;;;;;;
1;BRFM_AM_13_021;1;20;;6;Texto do catálogo da exposição de pinturas da artista plástica Ilka Teresa, realizada na Galeria Goeldi;Ilka Teresa;;1967-10-16;;;Frederico Morais;Português;1 página;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;3;12,00 x 18,00 cm;bom;Doc. 131;;6;6;;;21;;;;;;;;;;;;
1;BRFM_AM_13_022;1;20;;6;"Texto do catálogo da exposição ""I Feira Mundial do Sangue de Umbigo FE.M.S.U"", do artista plástico Roberto  Moriconi, realizada na Petite Galerie";I Feira Mundial do Sangue de Umbigo FE.M.S.U;;1967-09-11;;;Frederico Morais;Português;1 página;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;3;18,5,00 x 24,00 cm;Manchado, Papel Acidificado/Amarelado, Rasgado ;Doc. 132;;6;6;;;22;;;;;;;;;;;;
1;BRFM_AM_13_023;1;20;;6;"Texto do catálogo da exposição ""ETC"", do artista plástico Dileny Campos, realizada na Petite Galerie";Dileny Campos ETC;;1967-08-14;;;Frederico Morais;Português;1 página;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;3;14,5,00 x 21,00 cm;Manchado, Papel Acidificado/Amarelado;Doc. 133;;6;6;;;23;;;;;;;;;;;;
1;BRFM_AM_13_024;1;20;;6;Texto do catálogo da exposição do artista plástico Victor Décio Gerhard, realizada na Petite Galerie;Victor Décio Gerhard;;1967-07-17;;;Frederico Morais;Português;1 página;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;3;10,7,00 x 21,00 cm;Acidificado;Doc. 134;;6;6;;;24;;;;;;;;;;;;
1;BRFM_AM_13_025;1;20;;6;Texto do catálogo da exposição do artista plástico Paulo Guilherme Sämy, realizada na Petite Galerie;O desenho de Sämy;;1967-09-25;;;Frederico Morais;Português;1 página;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;3;10,2,00 x 22,00 cm;Acidificado;Doc. 135;;6;6;;;25;;;;;;;;;;;;
1;BRFM_AM_13_026;1;20;;6;Texto do catálogo da exposição do artista plástico Angelo de Aquino, realizada na Galeria G4;Côr e espaço;;1967-07-19;;;Frederico Morais;Português;1 página;;;;;Textual;Original;1;Impresso;3;35,00 x 12,2,00 cm;Manchado, Dobrado, Papel Acidificado/Amarelado;Doc. 136;;6;6;;;26;;;;;;;;;;;;
1;BRFM_AM_13_027;1;20;;6;Texto do catálogo da exposição de pinturas e desenhos do artista plástico Jarbas Juarez, realizada na Galeria Grupiara;Pinturas e desenhos de Jarbas Juarez;;1966-05-13;;;Frederico Morais;Português;1 página;Belo Horizonte, MG;;;;Textual;Original;1;Impresso;3;12,5,00 x 22,00 cm;Manchado, Papel Acidificado/Amarelado;Doc. 137;;6;6;;;27;;;;;;;;;;;;
1;BRFM_AM_13_028;1;20;;6;"Texto do catálogo da exposição coletiva ""Oficina"", realizada na Galeria Grupiara";Laender, Lotus, Weick, Klara, Nivea;;1965-03-17;;;Frederico Morais;Português;1 página;Belo Horizonte, MG;;;;Textual;Original;1;Impresso;3;10,2,00 x 22,00 cm;Manchado, Rasgado, Papel Acidificado/Amarelado;Doc. 138;;6;6;;;28;;;;;;;;;;;;
1;BRFM_AM_13_029;1;20;;6;Texto do catálogo da exposição do artista plástico Franz Weissmann, realizada na Galeria Grupiara;Weissmann: entre dois mundos;;;--/11/1965;;Frederico Morais;Português;1 página;Belo Horizonte, MG;;;;Textual;Original;1;Impresso;3;10,2,00 x 20,5,00 cm ;Manchado, Papel Acidificado/Amarelado;Doc. 139;;6;6;;;29;;;;;;;;;;;;
1;BRFM_AM_13_030;1;20;;6;Texto do catálogo da exposição do artista plástico Krajcberg, comemorativa do IV centenário, realizada no MAM - Museus de Arte Moderna do Rio de Janeiro;Krajcberg;;;"12/08/1965; 12/09/1965";;Frederico Morais;Português;2 páginas;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;3;19,00 x 20,6,00 cm;Rasgado, Papel Acidificado/Amarelado;Doc. 140;;6;6;;;30;;;;;;;;;;;;
1;BRFM_AM_13_031;1;20;;6;Texto do catálogo da exposição de pinturas e desenhos do artista plástico Chanina L. Szejnbejn, realizada no Gremio Cultural da União Israelita;Chanina L. Szejnbejn;;;"11/03/19--; 17/03/19--";;Frederico Morais;Português;1 página;;;;;Textual;Original;1;Impresso;3;14,5,00 x 21,5,00 cm;Manchado, Papel Acidificado/Amarelado, furado;Doc. 141;;6;6;;;31;;;;;;;;;;;;
1;BRFM_AM_13_032;1;20;;6;Texto do catálogo da exposição de desenhos, gravuras e aquarelas do artista plástico Goeldi, realizada no Museu de Arte de Belo Horizonte;Reduscubro Goeldi ;;;--/10/1961;;Frederico Morais;Português;1 página;Belo Horizonte, MG;;;;Textual;Original;1;Impresso;3;10,4,00 x 21,5,00 cm;Manchado, Papel Acidificado/Amarelado;Doc. 142;;6;6;;;32;;;;;;;;;;;;
1;BRFM_AM_13_033;1;20;;6;Texto do catálogo da exposição de cartazes de filmes, realizada no Centro de Estudos Cinematográficos de Minas Gerais, em parceria com a Biblioteca Thomas Jefferson do Instituto Cultural Brasil-EE. Unidos;Cartaz Cinematográfico;;1961-09-15;;;Frederico Morais;Português;3 páginas;Belo Horizonte, MG;;;;Textual;Original;1;Impresso;3;16,6,00 x 21,6,00 cm;Rasgado, Manchado, Papel Acidificado/Amarelado, Dobrado;Doc. 143;;6;6;;;33;;;;;;;;;;;;
1;BRFM_AM_13_034;1;20;;6;Texto do catálogo da exposição de esculturas do artista plástico Evandro Carneiro, realizada na Galeria Saramenha;Evandro Carneiro: Esculturas;;;--/05/1992;;Frederico Morais;Português;2 páginas;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;3;26,00 x 21,00 cm;Dobrado;Doc. 144;;6;6;;;34;;;;;;;;;;;;
1;BRFM_AM_13_035;1;20;;6;Texto do catálogo da exposição de litografias do artista plástico Luis Antônio Norões, realizada no Museu Nacional de Belas Artes;Luis Antônio de Norões: litografias;;;--/03/1992;;Frederico Morais;Português;1 página;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;3;20,00 x 21,00 cm;Acidificado;Doc. 145;;6;6;;;35;;;;;;;;;;;;
1;BRFM_AM_13_036;1;20;;6;Texto do catálogo da exposição de pinturas da artista plástica Marilia Kranz, realizada no Museu Nacional de Belas Artes;Marília Kranz: pinturas;;;--/07/1992;;Frederico Morais;"Português; Inglês";4 páginas;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;3;20,00 x 21,00 cm;Acidificado;Doc. 146;;6;6;;;36;;;;;;;;;;;;
1;BRFM_AM_13_037;1;20;;6;Texto do catálogo da exposição da artista plástica Miriam Obino, realizada na Pequena Galeria;Miriam Obino;;;"01/10/1991; 25/10/1991";;Frederico Morais;Português;1 página;;;;;Textual;Original;1;Impresso;3;10,5,00 x 18,5,00 cm;Bom;Doc. 147;;6;6;;;37;;;;;;;;;;;;
1;BRFM_AM_13_038;1;20;;6;Texto do catálogo da III Bienal Nacional de Santos;;;;"01/10/1991; 31/10/1991";;Frederico Morais;Português;1 página;Santos, SP;;;;Textual;Original;1;Impresso;3;21,00 x 29,5,00 cm;Rasgado;Doc. 148;;6;6;;;38;;;;;;;;;;;;
1;BRFM_AM_13_039;1;20;;6;"Texto do catálogo da exposição ""Ciclo Artista e Processo"", do artista plástico Charles Watson, realizada na Galeria Sérgio Milliet";Simetria Dinâmica;;;--/09/1991;;Frederico Morais;Português;1 página;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;3;21,5,00 x 30,00 cm;Dobrado;"Doc. 149; 2 exemplares";;6;6;;;39;;;;;;;;;;;;
1;BRFM_AM_13_040;1;20;;6;"Texto do catálogo do ""Desfile-Exposição Apoteose Tropical"", com pinturas do artista plástico Glauco Rodrigues, apresentado na Fundação Casa França-Brasil";O super-desfile de Glauco Rodrigues;;1991-01-31;;;Frederico Morais;Português;4 páginas;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;1;29,00 x 35,00 cm;Dobrado, Papel Acidificado/Amarelado;Doc. 150;;6;6;;;40;;;;;;;;;;;;
1;BRFM_AM_13_041;1;20;;6;Texto do catálogo da exposição de esculturas do artista plástico Evandro Carneiro, realizada na Galeria de Arte Ipanema;Evandro Carneiro: clássico, contemporâneo ;;;--/--/1990;;Frederico Morais;Português;1 página;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;3;15,00 x 21,00 cm;Manchado, Papel Acidificado/Amarelado;Doc. 151;;6;6;;;41;;;;;;;;;;;;
1;BRFM_AM_13_042;1;20;;6;"Texto do catálogo da exposição ""Figurativismo/Abstracionismo: o vermelho na pintura Brasileira"", realizada pelo Instituto Cultural Itaú";Cor e abstração;;;--/06/1990;;Frederico Morais;Português;10 páginas;São Paulo, SP;;;;Textual;Original;1;Impresso;3;21,00 x 30,00 cm;Bom;Doc. 152;;6;6;;;42;;;;;;;;;;;;
1;BRFM_AM_13_043;1;20;;6;"Texto do cartaz da exposição ""Salgueiro 1990"", realizada na Escola de Artes Visuais Parque Laje";Salgueiro: 1990;;;--/04/1990;;Frederico Morais;Português;1 página;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;3;44,00 x 63,00 cm;Dobrado, Rasgado;Doc. 153;;6;6;;;43;;;;;;;;;;;;
1;BRFM_AM_13_044;1;20;;6;"Texto do catálogo da exposição ""Pintura Brasil Séc. XIX e XX"", realizada com obras do acervo Banco Itau, no Instituto Cultural Itaú";Construção e lirismo na arte brasileira;;;--/10/1989;;Frederico Morais;Português;8 páginas;São Paulo, SP;;;;Textual;Original;1;Impresso;3;21,00 x 21,00 cm;Rasgado, acidificado;"Doc. 154; 2 exemplares";;6;6;;;44;;;;;;;;;;;;
1;BRFM_AM_13_045;1;20;;6;"Texto do catálogo da exposição de desenhos ""Álbum do Rio de Janeiro"", da artista plástica Denise Weller, realizada na Itaú Galeria";Denise Weller: desenhos;;1991-09-11;;;Frederico Morais;Português;1 página;Brasília, DF;;;;Textual;Original;1;Impresso;3;10,5,00 x 21,5,00 cm;Acidificado;Doc. 155;;6;6;;;45;;;;;;;;;;;;
1;BRFM_AM_13_046;1;20;;6;"Texto do catálogo da exposição ""Rio de Janeiro / Linha do Céu"", do artista plástico Luiz Alphonsus, realizada no Espaço Petite Galerie";Luiz Alphonsus;;;--/03/1987;;Frederico Morais;Português;1 página;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;3;15,00 x 21,00 cm;Manchado;Doc. 156;;6;6;;;46;;;;;;;;;;;;
1;BRFM_AM_13_047;1;20;;6;Texto de convite de exposição da artista plástica Marília Gianetti realizada na Galeria do Térreo.;Marília Gianetti;;;--/03/1987;;Frederico Morais;Português;2 páginas;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;3;22,00 x 33,00 cm;Bom;Doc. 157;;6;6;;;47;;;;;;;;;;;;
1;BRFM_AM_13_048;1;20;;6;"Texto de convite da exposição ""Artistas de São Conrado Homenageiam Decio Vieira"" realizada pelas instituições Villa Risco e Associação dos Moradores e Amigos de São Conrado - AMASCO.";;;;;;Frederico Morais;Português;1 página;Rio de Janeiro, RJ;;;;Textual;Original;3;Impresso;3;33,00 x 22,00 cm;Bom;Doc. 158;;6;6;;;48;;;;;;;;;;;;
1;BRFM_AM_13_049;1;20;;6;Texto de folder de exposição da artista plástica Maria Tomaselli realizada em museus do Rio de Janeiro.;;;;--/01/1989;;Frederico Morais;Português;1 página;Rio de Janeiro, RJ;;;;Textual;Original;3;Impresso;3;63,00 x 21,5,00 cm;Bom;Doc. 159;;6;6;;;49;;;;;;;;;;;;
1;BRFM_AM_13_050;1;20;;6;"Texto do catálogo da exposição ""Transformação - construções em argila"" realizada no Paço Imperial.";A Nova Cerâmica;;;--/06/1989;;Frederico Morais;Português;2 páginas;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;3;21,00 x 21,00 cm;Bom;Doc. 160;;6;6;;;50;;;;;;;;;;;;
1;BRFM_AM_13_051;1;20;;6;"Texto do catálogo da exposição ""Benevento"" realizada na Galeria Saramenha.";Nos anos 70, um resistente da pintura;;;--/--/1986;;Frederico Morais;"Português; Inglês";2 páginas;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;3;20,5,00 x 20,00 cm;Bom;Doc. 161;;6;6;;;51;;;;;;;;;;;;
1;BRFM_AM_13_052;1;20;;6;"Texto do catálogo da exposição ""Cor Inteira"" da artista plástica Marcia Rothstein realizada na Galeria Montesanti Roesler.";;;;--/--/1989;;Frederico Morais;"Português; Inglês";4 páginas;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;3;20,5,00 x 20,00 cm;Bom;Doc. 162;;6;6;;;52;;;;;;;;;;;;
1;BRFM_AM_13_053;1;20;;6;Texto do catálogo da exposição do artista plástico Oscar Araripe realizada na Galeria Olivia Kann.;O Jardim Selvagem de Oscar Araripe;;1988-11-02;;;Frederico Morais;Português;1 página;Rio de Janeiro, RJ;;;;Textual;Original;3;Impresso;3;14,00 x 21,00 cm;Manchado;Doc. 163;;6;6;;;53;;;;;;;;;;;;
1;BRFM_AM_13_054;1;20;;6;Texto do catálogo da exposição do artista plástico Adriano Mangiavacchi realizada na Galeria Saramenha.;;;;--/10/1988;;Frederico Morais;Português;2 páginas;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;3;20,5,00 x 20,00 cm;Manchado;Doc. 164;;6;6;;;54;;;;;;;;;;;;
1;BRFM_AM_13_055;1;20;;6;Texto do catálogo da exposição do artista plástico Maurício Bentes.;;;;--/09/1988;;Frederico Morais;Português;2 páginas;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;3;25,00 x 19,00 cm;Manchado;Doc. 165;;6;6;;;55;;;;;;;;;;;;
1;BRFM_AM_13_056;1;20;;6;"Texto do catálogo da exposição ""Resumo de 45 anos de Pintura"" da artista plástica Ione Saldanha.";Bobinas empilhadas ou a cidade de Ione;;;--/04/1987;;Frederico Morais;Português;2 páginas;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;3;20,5,00 x 20,5,00 cm;Manchado, Rasgado, oxidado;Doc. 166;;6;6;;;56;;;;;;;;;;;;
1;BRFM_AM_13_057;1;20;;6;Texto do catálogo da exposição da artista plástica Giodana Holanda realizada na Galeria Arte do Centro Empresarial Rio.;;;;--/07/1988;;Frederico Morais;Português;1 página;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;3;21,00 x 21,00 cm;Manchado;Doc. 167;;6;6;;;57;;;;;;;;;;;;
1;BRFM_AM_13_058;1;20;;6;Texto do catálogo da exposição do artista plástico Fernando Pacheco realizada no Artcenter Itanhangá.;Fernando Pacheco - Pintura Gráfica e Musical;;;--/03/1987;;Frederico Morais;Português;2 páginas;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;3;21,00 x 15,5,00 cm;Manchado;Doc. 168;;6;6;;;58;;;;;;;;;;;;
1;BRFM_AM_13_059;1;20;;6;"Texto do catálogo da exposição ""Resumo de 45 anos de Pintura"" da artista plástica Ione Saldanha realizada na Galeria Paulo Klabin.";Bobinas empilhadas ou a cidade de Ione;;;--/04/1987;;Frederico Morais;Português;12 páginas;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;3;15,5,00 x 18,00 cm;Bom;Doc. 169;;6;6;;;59;;;;;;;;;;;;
1;BRFM_AM_13_060;1;20;;6;"Texto do convite da exposição ""Na Força da Lua"" realizada na Galeria Tríade.";;;;--/11/1988;;Frederico Morais;Português;2 páginas;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;3;32,00 x 56,00 cm;Manchado, Dobrado;Doc. 170;;6;6;;;60;;;;;;;;;;;;
1;BRFM_AM_13_061;1;20;;6;Texto de catálogo do 11º Salão Carioca de Arte.;;;;--/05/1987;;Frederico Morais;Português;2 páginas;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;3;15,00 x 21,5,00 cm;Manchado, Perda de Pedaços;Doc. 171;;6;6;;;61;;;;;;;;;;;;
